State,Year,Quarter,District,Registered_users
Andhra Pradesh,2018,3,kurnool,394311
Andhra Pradesh,2018,3,west godavari,349782
Andhra Pradesh,2018,3,spsr nellore,322446
Andhra Pradesh,2018,3,prakasam,314899
Andhra Pradesh,2018,4,visakhapatnam,978288
Andhra Pradesh,2018,4,east godavari,694455
Andhra Pradesh,2018,4,krishna,682479
Andhra Pradesh,2018,4,chittoor,665280
Andhra Pradesh,2018,4,guntur,659552
Andhra Pradesh,2018,4,anantapur,510892
Andhra Pradesh,2018,4,kurnool,498582
Andhra Pradesh,2018,4,west godavari,435668
Andhra Pradesh,2018,4,spsr nellore,407495
Andhra Pradesh,2018,4,prakasam,394962
Andhra Pradesh,2019,1,visakhapatnam,1174517
Andhra Pradesh,2019,1,east godavari,839277
Andhra Pradesh,2019,1,krishna,833694
Andhra Pradesh,2019,1,chittoor,812314
Andhra Pradesh,2019,1,guntur,802394
Andhra Pradesh,2019,1,anantapur,612162
Andhra Pradesh,2019,1,kurnool,599422
Andhra Pradesh,2019,1,west godavari,523372
Andhra Pradesh,2019,1,spsr nellore,491908
Andhra Pradesh,2019,1,prakasam,474260
Andhra Pradesh,2019,2,visakhapatnam,1318740
Andhra Pradesh,2019,2,krishna,952300
Andhra Pradesh,2019,2,east godavari,945181
Andhra Pradesh,2019,2,chittoor,925491
Andhra Pradesh,2019,2,guntur,915256
Andhra Pradesh,2019,2,anantapur,695114
Andhra Pradesh,2019,2,kurnool,680118
Andhra Pradesh,2019,2,west godavari,592185
Andhra Pradesh,2019,2,spsr nellore,558303
Andhra Pradesh,2019,2,prakasam,539462
Andhra Pradesh,2019,3,visakhapatnam,1460464
Andhra Pradesh,2019,3,krishna,1066546
Andhra Pradesh,2019,3,east godavari,1057167
Andhra Pradesh,2019,3,chittoor,1032733
Andhra Pradesh,2019,3,guntur,1026418
Andhra Pradesh,2019,3,anantapur,773656
Andhra Pradesh,2019,3,kurnool,755024
Andhra Pradesh,2019,3,west godavari,662102
Andhra Pradesh,2019,3,spsr nellore,619592
Andhra Pradesh,2019,3,prakasam,598568
Andhra Pradesh,2019,4,visakhapatnam,1620235
Andhra Pradesh,2019,4,krishna,1199971
Andhra Pradesh,2019,4,east godavari,1195228
Andhra Pradesh,2019,4,guntur,1158708
Andhra Pradesh,2019,4,chittoor,1156351
Andhra Pradesh,2019,4,anantapur,873033
Andhra Pradesh,2019,4,kurnool,846885
Andhra Pradesh,2019,4,west godavari,750078
Andhra Pradesh,2019,4,spsr nellore,697154
Andhra Pradesh,2019,4,prakasam,673522
Andhra Pradesh,2020,1,visakhapatnam,1763581
Andhra Pradesh,2020,1,krishna,1331602
Andhra Pradesh,2020,1,east godavari,1329664
Andhra Pradesh,2020,1,guntur,1289678
Andhra Pradesh,2020,1,chittoor,1270907
Andhra Pradesh,2020,1,anantapur,971850
Andhra Pradesh,2020,1,kurnool,936293
Andhra Pradesh,2020,1,west godavari,843835
Andhra Pradesh,2020,1,spsr nellore,775440
Andhra Pradesh,2020,1,prakasam,748655
Andhra Pradesh,2020,2,visakhapatnam,1904719
Andhra Pradesh,2020,2,east godavari,1459116
Andhra Pradesh,2020,2,krishna,1459041
Andhra Pradesh,2020,2,guntur,1426271
Andhra Pradesh,2020,2,chittoor,1385916
Andhra Pradesh,2020,2,anantapur,1076953
Andhra Pradesh,2020,2,kurnool,1035093
Andhra Pradesh,2020,2,west godavari,944829
Andhra Pradesh,2020,2,spsr nellore,854459
Andhra Pradesh,2020,2,prakasam,830709
Andhra Pradesh,2020,3,visakhapatnam,2058346
Andhra Pradesh,2020,3,east godavari,1601940
Andhra Pradesh,2020,3,krishna,1599289
Andhra Pradesh,2020,3,guntur,1567595
Andhra Pradesh,2020,3,chittoor,1506503
Andhra Pradesh,2020,3,anantapur,1186851
Andhra Pradesh,2020,3,kurnool,1132240
Andhra Pradesh,2020,3,west godavari,1053674
Andhra Pradesh,2020,3,spsr nellore,937176
Andhra Pradesh,2020,3,prakasam,915240
Andhra Pradesh,2020,4,visakhapatnam,2209658
Andhra Pradesh,2020,4,east godavari,1746280
Andhra Pradesh,2020,4,krishna,1744028
Andhra Pradesh,2020,4,guntur,1712940
Andhra Pradesh,2020,4,chittoor,1631331
Andhra Pradesh,2020,4,anantapur,1295872
Andhra Pradesh,2020,4,kurnool,1230466
Andhra Pradesh,2020,4,west godavari,1163179
Andhra Pradesh,2020,4,spsr nellore,1022944
Andhra Pradesh,2020,4,prakasam,999462
Andhra Pradesh,2021,1,visakhapatnam,2368081
Andhra Pradesh,2021,1,east godavari,1878769
Andhra Pradesh,2021,1,krishna,1876458
Andhra Pradesh,2021,1,guntur,1843237
Andhra Pradesh,2021,1,chittoor,1751420
Andhra Pradesh,2021,1,anantapur,1394849
Andhra Pradesh,2021,1,kurnool,1323411
Andhra Pradesh,2021,1,west godavari,1254117
Andhra Pradesh,2021,1,spsr nellore,1100541
Andhra Pradesh,2021,1,prakasam,1075936
Andhra Pradesh,2021,2,visakhapatnam,2526830
Andhra Pradesh,2021,2,east godavari,2006272
Andhra Pradesh,2021,2,krishna,2002662
Andhra Pradesh,2021,2,guntur,1968681
Andhra Pradesh,2021,2,chittoor,1870723
Andhra Pradesh,2021,2,anantapur,1492738
Andhra Pradesh,2021,2,kurnool,1415585
Andhra Pradesh,2021,2,west godavari,1339377
Andhra Pradesh,2021,2,spsr nellore,1176334
Andhra Pradesh,2021,2,prakasam,1151232
Andhra Pradesh,2021,3,visakhapatnam,2707931
Andhra Pradesh,2021,3,east godavari,2150622
Andhra Pradesh,2021,3,krishna,2145423
Andhra Pradesh,2021,3,guntur,2110878
Andhra Pradesh,2021,3,chittoor,2007011
Andhra Pradesh,2021,3,anantapur,1606735
Andhra Pradesh,2021,3,kurnool,1522196
Andhra Pradesh,2021,3,west godavari,1436576
Andhra Pradesh,2021,3,spsr nellore,1263550
Andhra Pradesh,2021,3,prakasam,1239147
Andhra Pradesh,2021,4,visakhapatnam,2888774
Andhra Pradesh,2021,4,east godavari,2294347
Andhra Pradesh,2021,4,krishna,2288148
Andhra Pradesh,2021,4,guntur,2252443
Andhra Pradesh,2021,4,chittoor,2141818
Andhra Pradesh,2021,4,anantapur,1719437
Andhra Pradesh,2021,4,kurnool,1628242
Andhra Pradesh,2021,4,west godavari,1532898
Andhra Pradesh,2021,4,spsr nellore,1349290
Andhra Pradesh,2021,4,prakasam,1325728
Andhra Pradesh,2022,1,visakhapatnam,3061324
Andhra Pradesh,2022,1,east godavari,2432305
Andhra Pradesh,2022,1,krishna,2423373
Andhra Pradesh,2022,1,guntur,2387051
Andhra Pradesh,2022,1,chittoor,2270705
Andhra Pradesh,2022,1,anantapur,1827094
Andhra Pradesh,2022,1,kurnool,1729513
Andhra Pradesh,2022,1,west godavari,1626039
Andhra Pradesh,2022,1,spsr nellore,1431664
Andhra Pradesh,2022,1,prakasam,1408929
Andhra Pradesh,2022,2,visakhapatnam,3226029
Andhra Pradesh,2022,2,east godavari,2564165
